,emp_length Encoded,home_ownership Encoded,purpose Encoded,addr_state Encoded,loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,mths_since_last_delinq,open_acc,mths_since_first_cr_line,term,revol_bal,total_acc,out_prncp,predicted_loan_status
179,2,4,2,28,18000.0,18.64,463.38,70000.0,4.56,1.0,18.0,11.0,249.4,60.0,8640.0,22.0,0.0,good
4092,1,0,2,10,15250.0,18.75,557.08,93000.0,17.05,1.0,8.0,14.0,352.7,36.0,10078.0,38.0,0.0,good
6194,1,0,2,37,9500.0,19.52,350.74,35000.0,23.55,0.0,36.0,6.0,318.1,36.0,4874.0,15.0,0.0,good
4273,5,4,2,4,12000.0,14.33,412.06,70000.0,11.04,0.0,0.0,8.0,302.4,36.0,12514.0,16.0,0.0,good
2081,1,0,1,11,5000.0,12.12,166.36,55500.0,29.95,1.0,7.0,8.0,264.5,36.0,10825.0,29.0,0.0,good
845,1,0,3,3,6000.0,7.9,187.75,72000.0,5.05,0.0,0.0,5.0,296.7,36.0,1112.0,14.0,0.0,good
3533,2,4,2,37,14000.0,13.11,472.46,91620.0,7.84,0.0,62.0,9.0,270.0,36.0,30704.0,24.0,0.0,good
5802,10,0,3,16,4000.0,17.27,143.15,32000.0,19.76,1.0,9.0,9.0,306.6,36.0,7264.0,25.0,0.0,good
624,9,0,2,39,19750.0,22.45,550.54,74000.0,11.64,0.0,42.0,8.0,266.4,60.0,12061.0,19.0,0.0,good
2910,10,4,2,10,31825.0,19.05,826.44,71000.0,17.23,0.0,0.0,11.0,282.1,60.0,31737.0,34.0,0.0,good
6548,1,4,2,37,16000.0,9.99,516.2,67068.0,21.15,0.0,0.0,22.0,406.3,36.0,16637.0,37.0,0.0,good
6422,1,0,2,20,9175.0,16.78,326.12,98000.0,20.04,2.0,15.0,6.0,361.7,36.0,10102.0,26.0,0.0,good
8603,3,0,1,41,13000.0,17.1,323.79,45000.0,21.09,0.0,0.0,8.0,190.5,60.0,13258.0,14.0,0.0,good
4114,10,4,1,28,12000.0,10.16,388.11,49358.0,30.07,0.0,0.0,12.0,257.5,36.0,14343.0,26.0,0.0,good
212,1,4,2,28,18000.0,14.27,617.57,63700.0,17.22,0.0,0.0,8.0,230.9,36.0,12828.0,11.0,0.0,good
864,3,4,0,27,7000.0,8.9,222.28,51600.0,21.13,0.0,0.0,8.0,346.5,36.0,14418.0,13.0,0.0,good
